"0","1","2","3","4","5","6","7","8","9","10","11","12","13","14"
"Messiah Lutheran Church","2400 Park Avenue South","612-871-8831","Second Friday and fourth Saturday 8-11 am. Service Area: For those who live in Phillips neighborhood (east of I-35W, west of Hiawatha Ave., north of Lake St. and south of I-94). Must bring proof of residency.","","","","","fs","17","","2400 Park Ave, Minneapolis, MN 55404, USA","44.9586267","-93.2658289","ChIJG99-oq4ys1IR6kd6ZnQknDo"
"Minnesota Food Helpline","","1-888-711-1151 (Multilingual assistance is also available)","Monday-Friday 8:30 am-4:30 pm.","Provides: Statewide food resource information and referral helpline. Callers can be screened for SNAP eligibility and assisted with completing the application for SNAP. Assists callers in locating food resources in their own community whether it be a food shelf and/or hot meal site. Also makes referrals for other public food programs like WIC (Women, Infants and Children), and NAPS (Nutrition Assistance Program for Seniors).","","","","fs","18","","Minneapolis, MN, USA","44.977753","-93.2650108","ChIJvbt3k5Azs1IRB-56L4TJn5M"
"New Creation Baptist Church","1414 East 48th Street","612-825-6933","Food and clothing pantry is open Saturdays 10 am-2 pm.","Bring state ID with you to register.","","","","fs","19","","1414 E 48th St, Minneapolis, MN 55417, USA","44.9162559","-93.2540214","ChIJsXw5poAo9ocR9BeiByF7ifc"
"NorthPoint Health & Wellness Center","1315 Penn Avenue North","612-767-9175 (Food Shelf)","Monday, Tuesday and Thursday 9 am-3 pm; Wednesday 11 am-6 pm.","New registration is done Monday,Tuesday and Thursday from 9 am-2 pm and Wednesdays 11 am-4 pm. Persons need to bring some form of identification like Minnesota ID and mail with current address on it.","","","","fs","20","","1315 Penn Ave N, Minneapolis, MN 55411, USA","44.9926984","-93.3085817","ChIJD_AOZKkzs1IRnuMKgZ97mrI"
"Nutrition Assistance Program for Seniors","","651-484-8241 or 1-800-365-0270","","Serves Minnesota residents who are 60 years and older, at or below 130% of the poverty level. Provides one box of food monthly (approximately 40 lbs. of stable supplemental food) to each senior. Call for information.","","","","fs","21","","Minneapolis, MN, USA","44.977753","-93.2650108","ChIJvbt3k5Azs1IRB-56L4TJn5M"
"Sabathani Community Center","310 East 38th Street, Room 20-Lower Level","612-821-2396; 612-821-2300 (reception)","Monday-Friday 9-11:30 am and 1-3:30 pm.","Service Area: South of Lake Street, east of Nicollet Avenue between 32nd and 62nd Streets, and west of Cedar Avenue. Also between Lyndale and Hiawatha from 46th St. to 62nd St.","","","","fs","22","","310 E 38th St #200, Minneapolis, MN 55409, USA","44.9343847","-93.2720375","ChIJw9K9wekn9ocR__BD5tm2s_g"
"Salvation Army Central Social Services","2727 Central Ave. NE","612-789-1512","Monday-Friday 8 am-noon and 1-4 pm.","Service Area: For those living in ZIP codes 55418, 55413, 55414, and Hennepin Co. part of 55421 we are a walk-in food shelf, but you may also call for an appointment. It is helpful, especially if you are visiting for the first time, to bring your photo ID and a current piece of mail.","","","","fs","23","","2727 Central Ave NE, Minneapolis, MN 55418, USA","45.0179874","-93.2468962","ChIJ_xX6QOgts1IRRb5FDP7-wrA"
"Salvation Army Center City Office","53 Glenwood Avenue","612-659-0711","Monday and Thursday 8-11 am and 2-4 pm; Tuesday, Wednesday and Friday 8 am-noon and 1-3 pm.","Service Area: ZIP codes served: 55401, 55402, 55403, 55404, and 55415. 5th Ave. S on the east, Mississippi River on the north, Kenwood and Grant Street on the south, and railroad on the west. Walk-ins allowed.","Mail and photo ID are encouraged.","","","fs","24","","53 Glenwood Ave, Minneapolis, MN 55403, USA","44.9786739","-93.2790879","ChIJISprApMys1IR3efscsD87Sc"
"Salvation Army Parkview","2024 Lyndale Avenue North","612-522-6581","Food Shelf Monday, Tuesday, Wednesday and Friday 8:3011 am and 1-3 pm; Thursday 1-3 pm.","Service Area: For persons who live in north Minneapolis.Visitors should call and schedule and appointment. Must provide photo ID and current piece of mail at time of appointment. Food shelf is available once per calendar month. It is a first-come first-serve basis. We reserve the right to limit the number of households served if the volume of guests is too high.","","","","fs","25","","2024 Lyndale Ave N, Minneapolis, MN 55411, USA","44.9999681","-93.2875365","ChIJrb9LNkMys1IRstVVtAwvJzI"
"Salvation Army Temple","1604 East Lake Street","612-767-2700","Monday-Friday 8-11 am; Monday, Tuesday, Thursday and Friday 1-3 pm.","Service Area: For persons who live in south Minneapolis or southern Hennepin County. Walk-ins welcome. It is helpful, especially","if you are visiting for the first time, to bring your photo ID and a current piece of mail.","Food shelf provides the opportunity to shop with a volunteer for your needs. Free produce distribution every second Thursday of the month; doors open at 9:45 am.","","fs","26","","1604 E Lake St, Minneapolis, MN 55407, USA","44.9486561","-93.2507805","ChIJCYxRfQQo9ocRX77EyUwebaI"
"WIC Program (Women Infants Children)","","612-348-6100","","Provides: Health and nutrition assessment; vouchers for quality food like milk, cheese, iron-rich cereal, peanut butter and dry beans; information/referral, breastfeeding support. Qualifications: To be eligible, you must 1) live in Hennepin County; 2) be a woman who is pregnant, breastfeeding or have had a baby in the last 6 months-year, be an infant, or be a child less than 5 years old; 3) be income eligible.This will be determined at the WIC intake appointment or by phone.","","","","fs","27","","Minneapolis, MN, USA","44.977753","-93.2650108","ChIJvbt3k5Azs1IRB-56L4TJn5M"
"Senior Food Shelf","","612-788-9521","Monday through Friday 10-11:30 am and 12-2:45 pm. Last number given out at 2:30 pm.","Food shelf for people 55 and older. Must reside in Hennepin County. May use food shelf once per calendar month. Service Area: For persons who live in south Minneapolis or southern Hennepin County. Walk-ins welcome. It is helpful, especially","","","","fs","28","","Minneapolis, MN, USA","44.977753","-93.2650108","ChIJvbt3k5Azs1IRB-56L4TJn5M"
"Sharing and Caring Hands (Mary Jo's)","525 North 7th Street","612-338-4640","Monday-Thursday 10-11:30 am; 1:30-3 pm.","Remarks: If you are receiving welfare, go to neighborhood food shelf first.","","","","fs","29","","525 N 7th St, Minneapolis, MN 55405, USA","44.9832011","-93.2826462","ChIJP2f4J_Mys1IRsKiNPXD1_OY"
"Simpson United Methodist Church","2740 1st Avenue South","612-874-7741","Wednesdays from 9:30 am-12:30 pm.","Remarks: Need proof of residence and piece of mail with name and address or medical card for self. Family members must have medical, school ID or birth certificate. Can be used once every 30 days.","","","","fs","30","","2740 1st Ave S, Minneapolis, MN 55408, USA","44.9521711","-93.2769889","ChIJ8bPja_Un9ocRbeI_N6t5fww"
"Catholic Charities Opportunity Center","740 East 17th Street","612-204-8300","Serves breakfast 7-8 am Monday through Saturday. Centre","","","","","me","31","","740 E 17th St, Minneapolis, MN 55404, USA","44.9665304","-93.2627872","ChIJ_yf93KYys1IRvWL5xPcJomk"
"House of Charity Food","714 Park Avenue South","612-436-2055","Serves women and families with children Monday-Friday from 8:30-9 am. Brunch is served to anyone on Saturday and Sunday from 10:30-11:30 am.","","","","","me","32","","714 Park Ave, Minneapolis, MN 55404, USA","44.972572","-93.2632187","ChIJvWADeZ8ys1IRgZAEzZTuFgo"
"Sharing and Caring Hands (Mary Jo's)","525 North 7th Street","612-338-4640","Serves breakfast 10:30 am Monday-Thursday; one meal served Saturday and Sunday from 9:30 am-11:15 am.","","","","","me","33","","525 N 7th St, Minneapolis, MN 55405, USA","44.9832011","-93.2826462","ChIJP2f4J_Mys1IRsKiNPXD1_OY"
"All God's Children Metropolitan Community Church","3100 Park Avenue South","","Serves lunch on Thursdays from 11 am-1 pm.","","","","","me","34","","3100 Park Ave, Minneapolis, MN 55407, USA","44.9463863","-93.2656145","ChIJd3SxAPsn9ocRyYvhyHYjTzw"
"Catholic Charities Opportunity Center","740 East 17th Street","612-204-8300","Serves snacks 9:30-10:30 am and lunch 11:30-12:30 Monday through Saturday.","Drop-in Monday-Friday 7 am-3 pm; Saturday 7 am-1?pm. The Opportunity Center also has small-scale storage lockers ($5 for 30 days only; after that must wait 2 months to rent locker again), showers, and laundry available Monday-Friday 8-10:30 am ($1 for one wash/dry load).","","","","me","35","","740 E 17th St, Minneapolis, MN 55404, USA","44.9665304","-93.2627872","ChIJ_yf93KYys1IRvWL5xPcJomk"
"Central Lutheran Church Restoration Center","333 South 12th Street","612-870-4416","Lunch is served on Mondays 11:30?am-12:15 pm. May end sooner, depending on the crowd.","Remarks: New building opens Fall 2018; call to verify.","","","","me","36","","333 S 12th St, Minneapolis, MN 55404, USA","44.9694409","-93.2706133","ChIJj8p_1rwys1IRXprnO0SZIMc"
"House of Charity Food Centre","714 Park Avenue South","612-436-2055","Lunch is served Monday-Friday from 12-1 pm. Weekend brunch served Saturday and Sunday from 10:30-11:30 am.","","","","","me","37","","714 Park Ave, Minneapolis, MN 55404, USA","44.972572","-93.2632187","ChIJvWADeZ8ys1IRgZAEzZTuFgo"
"Marie Sandvik Center","1112 East Franklin Avenue","Contact: 612-870-9617","Hours:Tuesday 7 pm worship service followed by women's clothing and meal; Thursday 12 pm quilt and baby layette signup; Thursday 1 pm worship service followed by women's and children's clothing and meal (child care provided during service); Friday 7 pm worship service followed by men's clothing and meal; Sunday 6 pm service followed by men's clothing and meal.","","","","","me","38","","1112 E Franklin Ave, Minneapolis, MN 55404, USA","44.9630307","-93.2577355","ChIJIbRaJ1gts1IRaRh37zSEu0U"
"Messiah Lutheran Church","2400 Park Avenue South","612-871-8831","Provides: Lunch is served every Thursday at 12 noon.","","","","","me","39","","2400 Park Ave, Minneapolis, MN 55404, USA","44.9586267","-93.2658289","ChIJG99-oq4ys1IR6kd6ZnQknDo"
"Peace House","1816 Portland Avenue South","612-870-7263","Provides: A gathering place where poor, homeless and economically comfortable people come to form community, work for nonviolence, affirmation and responsibility. Emphasis on spirituality through daily reflection time together, followed by lunch. Doors closed for reflection, meditation and lunch from 11:30-12:30.","","","","","me","40","","1816 Portland Ave, Minneapolis, MN 55404, USA","44.9645597","-93.2680047","ChIJ345ZGqUys1IR4IshZKTLqlA"
"Salvation Army Parkview","2024 Lyndale Avenue North","612-522-6581","Provides: Lunch served Monday-Wednesday from noon-1 pm.","","","","","me","41","","2024 Lyndale Ave N, Minneapolis, MN 55411, USA","44.9999681","-93.2875365","ChIJrb9LNkMys1IRstVVtAwvJzI"
"Salvation Army Temple Corps","1604 East Lake St.","612-767-2710","Provides: Lunch served Monday-Friday from noon-1 pm.","","","","","me","42","","1604 E Lake St, Minneapolis, MN 55407, USA","44.9486561","-93.2507805","ChIJCYxRfQQo9ocRX77EyUwebaI"
"Sharing and Caring Hands (Mary Jo's)","525 North 7th Street","612-338-4640","Serves lunch Monday-Thursday at noon; Saturday and Sunday one meal served from 9:30-11:15 am.","","","","","me","43","","525 N 7th St, Minneapolis, MN 55405, USA","44.9832011","-93.2826462","ChIJP2f4J_Mys1IRsKiNPXD1_OY"
"Soup for You Cafe","2511 East Franklin Ave","","Serves organic/vegetarian lunch Monday-Friday 11 am1 pm. Groceries given out on random days.","","","","","me","44","","2511 E Franklin Ave, Minneapolis, MN 55406, USA","44.9624903","-93.2356796","ChIJz2lhazcts1IRwvXRapYHzPM"
"Waite House","2323 11th Avenue South","612-721-1681","Serves lunch Monday-Friday 11 am-12:30 pm.","","","","","me","45","","2323 11th Ave S, Minneapolis, MN 55404, USA","44.95959","-93.2572572","ChIJCdRCQlYts1IRv6j-AVuodq0"
"Living Spirit United Methodist Church","4501 Bloomington Avenue South","612-721-5025","Serves dinner Wednesdays 5:30-6:30 pm.","","","","","me","46","","4501 Bloomington Ave, Minneapolis, MN 55407, USA","44.9211426","-93.2520376","ChIJr5xVdXwo9ocR5lMByKqIXG4"
"Loaves and Fishes New Bethel ","1115 30th Avenue North","Main office 612-377-9810","Monday-Friday 5:30-6:30","","","","","me","47","","1115 N 30th Ave, Minneapolis, MN 55411, USA","45.0111526","-93.2939752","ChIJBUOKtTkys1IRGEl5bNpyVYQ"
"Loaves and Fishes Holy Rosary Church","2424 18th Avenue South","","Monday-Friday 5:15-6:15","","","","","me","48","","2424 18th Ave S, Minneapolis, MN 55404, USA","44.9586542","-93.2489202","ChIJk1LI_1Ets1IRJyPDhbNAkRU"
"Loaves and Fishes St. Stephen's School","2123 Clinton Avenue South","","Monday-Friday 5:30-6:30","","","","","me","49","","2123 Clinton Ave, Minneapolis, MN 55404, USA","44.9611924","-93.2710905","ChIJz9sEQ7Ays1IRMkMJ1XVYP0Y"
"Loaves and Fishes Creekside Community Center","9801 Penn Avenue South, Bloomington","","Monday-Friday 5:30-6:30","","","","","me","50","","9801 Penn Ave S, Minneapolis, MN 55431, USA","44.8256495","-93.3079699","ChIJbQ9rD-Yk9ocRmkq_XjjUK_s"
"Loaves and Fishes Hope Church","7132 Portland Avenue South, Richfield","","Serves Monday-Thursday 5-6 pm.","","","","","me","51","","7132 Portland Ave, Minneapolis, MN 55423, USA","44.8733002","-93.2686358","ChIJAeqZwOQl9ocRWwcG56mnY_w"
"Oak Park Neighborhood Center","1701 Oak Park Avenue North","612-377-7000","Provides: Community meals are served Tuesday, Wednesday and Thursday 5-7 pm.","","","","","me","52","","1701 Oak Park Ave N, Minneapolis, MN 55411, USA","44.9874094","-93.3023609","ChIJVZG71P8ys1IRUsuhDWeQMSU"
"Sharing and Caring Hands (Mary Jo's)","425 North 7th Street","612-338-4640","Dinner is served Monday-Thursday at 3 pm.","","","","","me","53","","425 N 7th St, Minneapolis, MN 55405, USA","44.9824922","-93.2814247","ChIJM8Y8MY0ys1IRAFX7vTzkQKk"
"Calvary Baptist Church","2608 Blaisdell Avenue South","Remarks: Dinner on Sundays, October-March. Doors open at 1:30 pm for 2:30 meal. Closed on the first Sunday of the month.","","","","","","me","54","","2608 Blaisdell Ave, Minneapolis, MN 55408, USA","44.9552883","-93.2800769","ChIJfesY9coys1IRrGNDBF_9z8I"
"First Nations Kitchen","3044 Longfellow Avenue South (All Saints Episcopal Indian Mission)","","Remarks: Serves dinner Sundays from 5:30-6:30 pm.","","","","","me","55","","3044 Longfellow Ave, Minneapolis, MN 55404, USA","44.9467197","-93.2464793","ChIJ8eJc-xoo9ocR5pczT_cwCpA"
"Salvation Army Harbor Light Center","1010 Currie Avenue","612-767-3100","Remarks: For Sunday, a nice lunch is served after chapel (worship service begins at 10:30 am, Sunday school at 9 am).You must attend chapel to go to the meal.","","","","","me","56","","1010 Currie Ave, Minneapolis, MN 55403, USA","44.9782094","-93.2797272","ChIJHy06GpMys1IRTcAwCaJaltA"
"Salvation Army Harbor Light Center","1010 Currie Avenue","612-767-3100","A hot meal open to the public is served Saturday and Sunday at 6 pm.","","","","","me","57","","1010 Currie Ave, Minneapolis, MN 55403, USA","44.9782094","-93.2797272","ChIJHy06GpMys1IRTcAwCaJaltA"
"Wesley Church","101 East Grant Street","","Remarks:Tickets are issued at 10:30 am and doors open at 11:30 for noon meal.","","","","","me","58","","101 E Grant St, Minneapolis, MN 55403, USA","44.9695411","-93.2760294","ChIJazr0Yr4ys1IRORMCloyfcII"
"Hennepin Avenue Methodist Church","511 Groveland Avenue","","First and Fifth Sundays of the Month 5-6 pm","","","","","me","59","","511 Groveland Ave, Minneapolis, MN 55403, USA","44.9662927","-93.2876514","ChIJ5bgFfcQys1IRAXKi9UEc2Vw"
"St. Mark's Episcopal Cathedral","519 Oak Grove Street","","Meal Second Sunday of the Month 5-6 pm","","","","","me","60","","519 Oak Grove St, Minneapolis, MN 55403, USA","44.9680257","-93.2869429","ChIJe08LvcMys1IRvw213FdYHX0"
"Plymouth Congregational Church","1900 Nicollet Avenue South","","Meal Third Sunday of the Month 5-6 pm","","","","","me","61","","1900 Nicollet Ave, Minneapolis, MN 55403, USA","44.9634642","-93.2784508","ChIJ1fgda7gys1IRfihZYDsgr7I"
"Westminster Presbyterian Church","Nicollet Mall at South 12th Street","","Meal Fourth Sunday of the Month 5-6 pm","","","","","me","62","","S 12th St & Nicollet Mall, Minneapolis, MN 55403, USA","44.9720491","-93.2763976","EjVTIDEydGggU3QgJiBOaWNvbGxldCBNYWxsLCBNaW5uZWFwb2xpcywgTU4gNTU0MDMsIFVTQSJmImQKFAoSCVEuI_eVMrNSERtFuRcvXTu8EhQKEglRLiP3lTKzUhEbRbkXL107vBoUChIJOb_m_JUys1IR1vm20BhWLKoaFAoSCQ_N3ySXMrNSEc8n1oQWxCaeIgoNqzDOGhW4JmfI"
"Adult Shelter Connect St. Olaf Church","215 South 8th Street","612-248-2350","Monday- Friday: 10:00 a.m.- 5:00 p.m.    Weekends and Holidays: 1:00- 5:00 pm. After 612.248.2350","Individuals seeking shelter in Hennepin County need to visit the Adult Shelter Connect (ASC) for an assessment and placement at one of the Minneapolis shelters. The ASC operates on behalf of the Single Adult Shelter Collaborative which is made up of the five agencies providing shelter to single individuals over age 18 in Hennepin County.  The Single Adult Shelter Collaborative includes the following agencies: Catholic Charities, Our Saviour's, St. Stephens, Salvation Army, and Simpson Housing Services.","","","","sh","63","h","215 S 8th St, Minneapolis, MN 55402, USA","44.9743704","-93.2702694","ChIJwZuZ0pkys1IRu4XBgWsAI_E"
"Metro Shelter Hotline","","1-888-234-1329 (toll free)","","Remarks: Provides information about shelter and transitional housing for adults, families and youth in the 7-county metro area.","","","","sh","64","","Minneapolis, MN, USA","44.977753","-93.2650108","ChIJvbt3k5Azs1IRB-56L4TJn5M"
"Salvation Army Harbor Light Center Secure Waiting Women only","1010 Currie Avenue","612-767-3113","","Intake: Must be referred through Adult Shelter Connect (above). Sally's Place: A secure shelter for single homeless women. Shower facilities are available. A light continental breakfast is provided by 2.4 Ministries.","","","","sh","65","","1010 Currie Ave, Minneapolis, MN 55403, USA","44.9782094","-93.2797272","ChIJHy06GpMys1IRTcAwCaJaltA"
"First Covenant Church Shelter by St. Stephen's Men and Women","810 South 7th Street","612-927-3113","6 pm-7 am","Intake: Must be referred through Adult Shelter Connect (above). Provides: 50 beds for men and women, with a limited number of couples able to sleep next to one another. Services: Light breakfast, showers, and evening meals are available to guests. Regular medical services are offered. Hennepin County Access workers make regular visits, and staff members speak Spanish. Some job search assistance available. Savings program to support those working towards housing. Remarks: Guests must arrive or call to check in by 7:00 pm each night. 10 pm curfew. Late entry available for guests with verified employment.","","","","sh","66","","810 S 7th St, Minneapolis, MN 55415, USA","44.9723148","-93.2605674","ChIJx7ah_58ys1IRQpmHEhPM8hs"
"Salvation Army Harbor Light Center Men and Women","1010 Currie Avenue","612-767-3113","","Intake: Must be referred through Adult Shelter Connect (above). Emergency Housing: Provides shelter, personal hygiene items and meals for homeless single adults who are receiving GA, social security or other benefits. Open to men and women. Pay-for-Stay Housing: Is for men and women who are employed and can self-pay for Emergency Housing. Weekly and monthly rates are available. Open to men and women.","","","","sh","67","","1010 Currie Ave, Minneapolis, MN 55403, USA","44.9782094","-93.2797272","ChIJHy06GpMys1IRTcAwCaJaltA"
"Our Saviour's Shelter Men and Women","2219 Chicago Avenue South","612-872-4193, ext. 11","6 pm-7 am.","Intake: Must be referred through Adult Shelter Connect (above). Provides: Has 34 beds for men and 6 beds for women are available for 30 days. Some extensions are possible. Breakfast, supper, showers, laundry, and an address to receive mail are available. Building is wheelchair accessible.","","","","sh","68","","2219 Chicago Ave, Minneapolis, MN 55404, USA","44.9602771","-93.2623108","ChIJL-V9A6kys1IR0PVMGAzAPuA"
"Simpson Shelter Men and Women","2740 1st Avenue South","612-874-0306","5 pm-9 am.","Intake: Must be referred through Adult Shelter Connect (above). Provides: 66 beds for men and women (separate men's and women's spaces; guests can stay wherever they identify or feel most comfortable). Hot dinner, a simple breakfast and a to-go lunch are served to guests; showers, laundry, storage, ability to save money, health clinic, advocacy, and community. Remarks: Stays of up to 90 days are possible for those individuals who are working toward stable housing. Guests do not need to be sober. Accepts companion animals as space allows. Dinner is served for current residents and former guests who are now in their own housing.","","","","sh","69","","2740 1st Ave S, Minneapolis, MN 55408, USA","44.9521711","-93.2769889","ChIJ8bPja_Un9ocRbeI_N6t5fww"
"St. Stephen's Shelter  Men Only","2211 Clinton Avenue South","612-874-9292","5 pm-9 am.","Intake: Must be referred through Adult Shelter Connect (above). Provides: 44 beds for men 18+. Services: Light breakfast, showers, evening meals and laundry are available to guests. Regular medical services are offered. Hennepin County Access workers make regular visits, and staff members speak Spanish. Some job search assistance available. Savings program to support those working towards housing. Remarks: Guests must arrive or call to check in by 7 pm each night. 10 pm curfew. Late entry available for guests with verified employment.","","","","sh","70","","2211 Clinton Ave, Minneapolis, MN 55404, USA","44.9602415","-93.2712184","ChIJn41UrbEys1IRPRRdEkcqY0Q"
"Salvation Army Harbor Light Center Safe Bay  Men Only","1010 Currie Avenue","612-767-3100 x3158","Intake: Must be referred through Adult Shelter Connect (above).","Provides: A secure shelter for single homeless men. Shower facilities are available. A light continental breakfast is provided by 2.4 ministries.","","","","sh","71","","1010 Currie Ave, Minneapolis, MN 55403, USA","44.9782094","-93.2797272","ChIJHy06GpMys1IRTcAwCaJaltA"
"Catholic Charities Higher Ground","165 Glenwood Avenue North","612-204-8552 (answered between 4-5pm and 7 pm-8 am)","","Intake: Must be referred through Adult Shelter Connect (above). Provides: Provides overnight shelter for single adult men without children who are not eligible for county shelter. Open 7 days a week from 5 pm-10 am. A light dinner is served. Restrooms and showers are available. Pay-for-Stay beds are available for $7/night or $42/week. Pay-for-Stay is open from 4 pm-10 am, and has lockers and a computer lab for residents. Must have staff referral, then are put on a wait list for Pay-for-stay.","","","","sh","72","","165 Glenwood Ave, Minneapolis, MN 55405, USA",44.9788964,-93.2853102,"ChIJodshtu0ys1IR7CY9vwhGd9k"
